"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393586592.17877","1346423463.68715","1266650837.98883","1282296089.38547","1458098882.68156","1606588826.81564","1595335195.53073","1742107262.56983","1863013966.48045","1606810055.86592","1477511731.84358","1839933519.55307","1911810055.86592","2007054189.94413","2105825139.6648","2083567039.10615","2057715083.79888","2153472067.03911","2241202793.29609","2232926815.64246","1324110862.30434","1945182828.03889","2686048557.67537","3159820075.99654","3582826085.68774","",
"Africa Eastern and Southern","AFE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","49804023331.5353","42112808750.5565","36519821608.5704","37310342848.5358","35243771849.9686","32861122560.0644","37452278093.4612","46794520501.2176","49127136663.3402","48594920030.0914","52056792004.383","51066159568.6179","51763286554.7185","54344336811.0528","57545335597.288","66416677574.8297","69458272974.9491","70582552438.1426","66675088113.2579","65629827717.7188","73329612745.4209","70970100178.7784","74278729950.6175","90768775258.7917","113771160773.442","143021385273.697","171731070205.619","213103649982.808","253789903079.358","195629103639.189","250606656995.904","297301416303.243","285611289163.074","282667640952.6","277002323586.643","217470053848.383","197130248081.966","232936713385.777","258813628122.367","245595833663.934","209516974576.598","288027736159.846","333484637191.804","308446174490.985","319825435256.189","",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079570874.83738","2045190335.08092","2664599570.76697","2890629761.30015","","",
"Africa Western and Central","AFW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8568772527.84755","9675623585.33525","13780895593.4318","24309456975.8737","33346563890.0022","44706822241.6374","64243944323.5067","41587432936.1563","51492639142.4508","67949213241.8613","71825305616.218","67326138852.8079","56798432760.5816","26813916785.5331","14765476550.4143","21480034960.2038","32444713522.8116","30001180996.3857","18583150428.1578","31385829560.7174","46181518626.076","34643370052.2142","31798017664.371","",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","378073684.210526","430536142.191142","373589755.244755","354685314.685315","335069930.06993","319090897.435897","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407402.421557","356444754.173521","371808882.957132","230303548.05726","291949980.81503","540977918.899348","700083432.864841","836717868.578588","910729673.560494","1169850275.75683","1596261949.37986","1853023798.25729","2242665599.57462","3016116393.24477","3259293797.96584","3040047669.92651","3337086751.10777","3769456501.7368","3565050489.31975","3694413300.33386","3732057495.25976","3104897798.78826","3437126544.898","4110301305.54485","4785182304.44356","4821429218.47484","3435540416.01473","5613909458.07573","7073859741.47037","9025058562.27334","9813761313.74708","",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282705785496.341","293092185849.291","353184726910.929","468555340996.675","630553789285.029","772884145255.977","898805757307.552","1199862268163.05","844610889994.044","1049474983691.44","1357261254478.15","1523930019032.71","1507451693846.02","1423745023191.55","1040266407461.85","953670218808.409","1091141483975.71","1297103254480.05","1250081044909.76","931628564702.073","1280418222799.26","1792850543608.38","1695255372658.71","","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","402728114363.513","358529611980.939","360626276378.489","382137508509.19","400217835262.083","404863172226.004","350277467665.078","425155888359.428","521897345132.743","558401633764.466","","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1206418458.20125","1206915940.34785","860375634.171457","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.58299","7665724159.60188","4508960596.80231","3895791554.63367","5445263189.73462","7663966255.62989","9515669466.75192","8873730058.64697","10345475059.3627","8641279278.3558","8566904947.15056","12094686105.3258","10006623327.0204","14643479947.2507","14561091033.0362","15095261860.4905","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97809980730.5834","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842604407.3878","72860557902.7631","75766598613.0197","80259482469.139","64053810078.3073","87906118244.6601","103224756800.251","83276004574.7551","97349127043.1651","",
