"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","105.0227080669","115.5036515338","135.0664273764","101.3492672366","123.596991199","113.7089664254","38.2328993577","54.618427655","52.017550141","408.6593966663","525.7409795016","523.1823215149","353.3295922177","421.4705838311","765.4801086572","735.0273763321","451.3129996311","622.4027422578","1041.8567332726","1376.7","1485.1","1648.7","1728.4","615.1","81.3","1641.2","433.9","85.5","76.1","100","82.9","37.8","52.1","36.9","22.7","32.8","55.1","41.8","","",
"Africa Eastern and Southern","AFE","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","87.0595847606","90.1822626748","91.9163620942","94.6415610285","82.2106011244","73.6284326707","71.6890990013","66.4880996926","51.2630964304","30.6474470286","30.5383351678","24.4202765184","17.0162565136","13.7688793171","21.8223747655","29.0616987822","22.4457258853","25.2656172082","27.8655244605","29.0933750905","24.0305912599","11.9004908932","17.5007219036","25.201039536","53.3772018025","64.3","71.3","74.4","87.2","56.9","57.2","62","70.3","79","85.5","100","105.6","133.9","161.8","160.8","144.2","158.2","152.1","163.8","","",
"Africa Western and Central","AFW","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","5.7313616511","5.6493869874","4.9095966027","5.4921779555","6.12720067","6.9349182223","4.0566709792","6.9982095211","7.5105676685","9.0838085706","11.7055753487","10.3957468133","11.5515665186","8.74173416","9.0916446363","10.9761179768","15.3551128754","15.0891785941","10.6773638372","15.5405495969","23.8720017831","19.6919151185","25.0986025514","28.6548406775","40.6104310053","72.7","96","133.8","192.6","123","152.5","202.9","214.3","205.7","178.3","100","83.1","104.3","122.8","106.8","66.7","103.9","154.5","114.8","","",
"Albania","ALB","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5405961323","10.8225440887","7.2521250609","10.6824048935","18.2956930311","13.6424410319","16.0273116873","17.7156602852","23.3713150592","31.5861014315","38.5","46.7","62.6","79.7","64.1","91","114.8","115.9","137.3","105.2","100","113.7","111.8","129.2","131","126.4","163.6","175.1","255.2","","",
"Andorra","AND","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4101754958","51.6670220632","53.6305550709","64.6454142366","47.6867907722","50.6458810204","58.5699488847","71.2301177939","100.7307674421","137.66132028","157.8","183.5","167.6","150.4","108.2","99.1","121.8","99.5","102.6","107.1","100","110.2","134.1","146.4","141.2","162.7","185.8","253.4","244.6","","",
"Arab World","ARB","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","7.3044569182","7.2462659971","6.0598362485","5.1178083675","5.3169875769","4.9093186114","3.3680905042","4.2446120345","4.0733644666","5.8510139716","7.8288402453","8.1254476828","8.2318539383","7.8607621209","9.1077104285","9.4396508928","12.4248302874","13.4528663731","11.2611689599","12.1386498516","16.5854100299","16.1123697321","17.3600922084","22.3428443564","30.2842303995","38.8","48","59.2","79.4","63.6","71.2","100.6","119.8","124.1","114.3","100","98.1","104.5","129","129.6","111.5","141.4","171.2","161.9","","",
"Argentina","ARG","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","14.1261622958","16.1013665807","13.427902224","13.7998379789","14.277613411","14.786031274","12.0671315869","11.2006903348","16.0869258919","16.8697168184","21.7534868961","21.093617918","21.5463863038","23.1010495887","27.8937728888","36.9172795102","41.9320882604","46.5463070498","46.5513137603","41.0478920081","46.388067055","46.7438010445","45.1711749734","52.0674837698","60.8898633387","71.1","82","98.2","123.3","98","120.1","148","140.9","133.8","120.5","100","102","103.3","108.8","114.7","96.7","137.2","155.8","117.6","","",
"Armenia","ARM","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2383480995","19.5444535011","15.6564335573","14.8451670584","15.6328697999","19.807021081","23.0924820816","34.0099074355","46.1580341809","48.6692574451","64.4","65.3","76.3","70.1","46.7","66.9","89.8","92.9","99.6","102.3","100","120.7","151.4","162.4","178","171.4","203.9","361.5","567.6","","",
"American Samoa","ASM","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","33.5382890633","52.5521222389","49.3831500369","46.7423398746","55.9851754471","53.0802842695","67.0765781267","76.0553326838","97.1818139819","81.3369530083","82.1291960543","86.3544923175","83.9777631706","127.0229687852","65.4920920348","71.767810002","82.5857519435","111.8733508936","109.4459102417","91.0554089338","91.3720316267","83.8258574878","102.4010553331","121.2401054529","117.5725592933","100.6","122.1","92.3","94.4","135.4","89.3","84.2","118.4","107.7","91.4","100","108","111.2","105.9","99.1","114.8","87.2","105.7","109.3","","",
"Antigua and Barbuda","ATG","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","47.9382772998","72.6336650355","38.769587844","36.0059738288","32.0872206012","30.431861604","35.729046895","35.4789369987","31.0196472189","29.0669292628","37.6952645889","90.3022599682","118.0246888679","113.2545404227","81.0861389801","79.9529333205","57.3247446603","57.3247446603","54.3076528331","57.3247446603","78.4443874265","61.850382397","58.8332905699","67.8906002289","85.9871169747","124.4","108.6","88","98.9","75.4","69.7","85.6","93.4","103.1","149.5","100","88.4","30.7","36.9","57.6","33.9","29.1","33.5","43.9","","",
"Australia","AUS","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2983287531","32.1288195336","33.5190854319","29.7803981276","29.8798208171","34.0309044737","33.7733432373","34.6503515019","37.4976979157","46.1225935952","56.5","65.8","75.3","99.8","82.2","113.3","144.8","136.8","134.8","127.9","100","102.6","123.1","137","144.4","133.6","183.7","219.9","197.8","","",
"Austria","AUT","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8053847088","38.0661523038","39.147780029","41.9170422257","43.2944270738","44.224456881","46.3247987073","51.5117098607","63.6071427325","77.5072668975","82","89.5","107.1","118.7","89.7","99.9","116.2","109.1","114.7","116.7","100","99.6","110","121","117","110.9","132.8","138.8","146.6","","",
"Azerbaijan","AZE","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8270764147","3.7969419549","4.7009757539","3.6462696558","5.5989826609","10.5169265266","13.9462280747","13.0626857015","15.6200044615","21.789625307","46.7","79.4","129.8","186.9","128.7","161.9","210.9","199.5","193.5","171.7","100","80.1","94.4","124","119.9","83.7","135.6","232.9","206.8","","",
"Burundi","BDI","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","54.211147442","62.1055972521","72.7636267776","66.2940778461","85.1889578353","93.050908607","127.3780277305","74.4047457683","110.0706267135","64.6006453087","62.036370971","75.2595867966","60.4717739604","51.3253646837","100.1758273436","87.5865916789","33.0635528432","71.7525913509","53.529828139","45.0465818195","41.4716865646","31.9352887075","24.8717201772","31.2372224282","38.8885926119","43.8","48.6","49.1","47.7","55.9","84.4","101.5","110.9","78.6","110.2","100","103.6","143.3","150.5","150.3","134.2","133.6","172.7","170.5","","",
"Belgium","BEL","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9249784046","44.6245891934","43.9817909613","45.7944064204","45.1867536221","47.3504152299","47.9659243665","54.4619073765","64.4128255554","77.3272109505","84.3","92.4","108.6","118.9","93.3","102.7","119.9","112.4","118.1","119","100","100.3","108.3","118","112.6","106.5","139","157.8","142.3","","",
"Benin","BEN","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","3.7312369017","1.9981480088","1.4166026996","3.9515631339","9.8991478164","8.9042851539","6.176951341","6.7731323996","4.1879209752","12.9488363761","17.1067196151","19.6014495599","19.9272494099","22.7807452781","23.6328737508","24.9720558051","31.3934416075","25.2098849166","24.1991112274","25.0909703608","23.307252094","22.2370211316","26.6368595394","32.1663861851","33.8055043487","34.1","43","59.6","72.7","68.4","76.5","84.2","86","116.8","152.8","100","105.6","132.3","199.6","181.8","178.4","217","222.1","228.8","","",
"Burkina Faso","BFA","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","4.1374485316","3.4192601312","2.5825200792","2.6594516058","3.6205420081","3.2401208246","3.7942961543","7.1337300061","6.5147581406","4.3477868523","6.9668911041","4.8687000828","2.9212108599","3.1905286382","4.901093756","12.7034199742","10.6926229449","10.6814574703","14.6644088588","11.7168603379","9.6032306282","10.2465092355","11.3374178543","14.7285069757","22.0225052497","21.3","26.9","28.4","28.3","33.8","73.1","110.2","100.3","108.2","112.7","100","115.3","132.1","149.6","148.9","201.1","232","207.8","205.5","","",
"Bangladesh","BGD","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","2.3388941658","2.4379498622","2.3725880265","2.2340167439","2.8721156223","3.0797705752","2.7132793032","3.2904165625","3.9807907236","4.0236211184","5.1536466623","5.2076086417","6.4687772174","7.0241230847","8.2045028663","10.8126638797","13.1228245724","14.9233909931","15.81595308","16.9772103259","19.7321078352","18.7777767466","18.9908798056","21.588266354","25.6495782768","28.7","36.5","38.4","47.5","46.6","59.3","75.5","77.1","90","93.9","100","107.8","110.6","121.1","121.4","103.7","136.4","168.7","172.1","","",
"Bulgaria","BGR","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1068004048","19.2739970023","19.4710726395","16.9485045223","15.6849777442","19.1231710795","20.1713414787","22.5968143872","29.7311888179","39.1486095899","46.3","59.4","73","88.1","64.3","81.3","111.2","105.2","116.6","115.3","100","104.7","123.9","132.5","131.4","125.9","162.2","196.8","188.2","","",
"Bahrain","BHR","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","21.8014079144","26.2808296145","22.9076917157","18.8576653117","19.3689739662","17.5119889506","13.2963826884","14.687096285","14.5777978636","17.1148753812","22.7340716565","21.2227549888","20.9429800493","22.5089459276","21.8642786896","24.8649588329","28.4168626178","26.5017970126","19.7710149196","26.3764072538","37.4501247711","33.7173913024","35.0293285278","40.0935815627","45.6939029938","61","71.3","80.4","104","71","90.5","119.4","120","133.1","121.9","100","77.5","93","109.6","110.1","85.3","135.4","182.8","150.6","","",
