"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5721186581085","14.4587152349716","7.04885172769032","14.2949579786747","10.351091163074","17.2191233384263","-3.29543603276583","4.06339596023064","9.26812487323289","7.91298394465221","6.42890063540145","6.64708593996279","2.6045725741499","-3.63557868022546","2.36594320095587","3.06642520023861","2.19049233719602","-10.4293410382569","9.0425587825339","10.8808930420843","-0.0928374518177577","2.13682442945287","",
"Afghanistan","AFG","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.60297382424412","29.0896182713296","-5.29950608331828","","",
"Africa Western and Central","AFW","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2009883467245","24.9346227825483","3.63277949032576","11.7544134231559","8.35917957367758","25.4344269657284","4.57927125297093","-4.92356939291308","6.88636439454777","8.35655071251085","0.377401363122942","5.65950458276293","-3.71195117981992","-7.62872785734562","-20.8858670404035","-0.0179337354704359","4.55038254814224","-24.3404648425312","-6.598006185096","5.23219661550374","-1.62737256159619","2.64521368928186","",
"Albania","ALB","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.92138192650702","23.85971882811","73.0737052449897","31.1908300040196","47.0673227438087","21.8774064760006","5.02738962299789","-5.98350931349438","2.85983120761387","5.10316381110643","3.74268965681676","3.39185850867936","2.90486867339726","2.59204406801972","-8.53507281815084","4.9437580315181","-8.78093885833113","0.350629700387728","1.07518671955778","2.03471152941404","1.89284711902431","8.1684408251618","1.82066752619843","-3.92900306869383","0.556906206444467","21.0279968711955","0.151788950880615","-5.86404108744368","14.2186361306635","",
"Andorra","AND","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.99803693548373","9.92614948344664","6.42805662301029","11.7900580715836","9.64876039782563","18.5000555629094","23.619339848378","18.3298874531002","-0.0769839192010693","7.52959929605768","0.843953373771882","6.37454746419095","4.23699729495803","4.03254991061554","2.87557444245601","-3.71777205173157","1.4148805999409","1.01833134678144","4.31816024030984","-18.1452102729866","9.98246820474897","18.5060381688516","10.3636465898061","3.85843911446426","",
"United Arab Emirates","ARE","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.56259540158671","6.9035915475762","2.88915481459213","18.2238933047952","14.8588369711241","39.4363553308742","0.0244019395585724","8.93776500960632","2.85919922920692","-3.04944648045152","-4.52200949752719","-3.6550492290034","9.16826645742366","-4.42369863751829","0.0144765712882133","0.320107619977222","-0.795399449239227","3.67661499306615","-20.3775102585195","21.1947307865289","56.6802321799336","4.22073478619616","","",
"Argentina","ARG","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","9.67737158691273","-8.82348970155981","-17.7420093262365","28.4313760529234","3.81683904082257","-3.67640470088475","3.8171141981109","8.82364850817081","22.9730415599097","2.23076104022508","10.9318312766663","1.01718536887026","-4.70004320971834","1.10725309945398","1.79205846136003","6.9433860287363","20.8964444349682","-15.922914769771","10.2115612172125","8.10700961691026","-14.9759380695599","-19.9428841877366","0.399509089967736","-4.13438860385106","-14.1047118790883","11.0407766460997","12.935919957749","-3.51973086904714","-21.6015601472355","-16.8500891694968","29.9416785576087","32.6434665284517","14.3639342075828","12.635527414646","-12.6354437237582","13.1032468404997","16.5927668791403","4.89937718054631","-16.921669009796","-3.80791012226115","-11.9335481324028","-37.5944884935092","40.1915283553837","29.613408721586","14.7963315610916","6.86650708997149","20.3300602381165","6.68344541722719","-23.0715438214624","32.5421212514853","16.092739932697","-11.1850671806337","4.66902552438771","-6.22353058509574","4.5567090210921","-5.08399241911893","15.452352566205","-9.84709805863248","-19.9699197688503","-6.41150742541427","30.1412993952675","11.5996497193635","-1.63010830459305","-17.726684836749","",
"Armenia","ARM","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.9617758472309","2.90610429658911","15.057959462139","-2.0171079260322","-2.88536513372642","-10.6901532563032","-1.01410676456084","37.0270086869403","49.2504816173042","5.35204018761752","25.3420448259195","32.5436599074449","28.9827098221893","23.1390554972366","-38.6753797235562","-3.03516476924285","-8.01285511047709","-11.5268402851263","-7.2","-0.699999996152229","-3.20000000016489","-8.70000000750562","10.3000000005364","34.5000000043873","-14.2999999971232","-0.500000000504457","21.4999999994469","11.7999999981815","13.9999999999997","11.3","",
"American Samoa","ASM","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
