"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458100558.65922","1324284916.20112","1316033519.55307","1347128491.62011","1432167597.76536","1527994413.40782","1816622905.02793","1888111173.18436","2005849162.01117","2091921787.7095","1906100558.65922","1846245251.39665","2233917877.09497","2184788268.15642","2241077259.68029","2261604969.33586","2079109510.00342","2026504541.77338","2136239440.44522","2306963885.12904","2384139106.14525","1708907140.29777","2085712922.34427","2653499093.04325","2938113155.41201","3257796508.27775","",
"Africa Eastern and Southern","AFE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50292505607.7702","53840313158.0522","50713974468.1156","50794520943.927","58418272886.7584","70673532976.877","72170432083.7042","75031246031.9883","72987232469.2889","68056532484.2345","74087298432.6786","69175239266.2971","73887244061.7634","93069616164.3611","119031371728.125","144905666678.381","170583402367.3","211231779358.008","256622742325.34","223099999729.664","254008563830.368","303939834339.117","316243447188.107","330755300480.903","329277092543.426","279424769127.365","238740759005.449","268310010002.039","291010920854.981","279922661411.389","229922202921.687","293472370079.719","363758667656.584","346591524551.15","353911296000.791","",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7241822542.17594","5286118076.13403","7901784705.74946","8701650584.05282","","",
"Africa Western and Central","AFW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7110406405.08521","8770763873.27372","10621507095.2115","15158700248.3754","16288863668.0498","26304660776.1183","43121902047.3651","41966880322.9838","35449385343.2345","43838125871.1654","45817586149.3213","47805328237.3313","49972198759.2479","29563627046.5921","13386621550.1688","17050137820.7826","20293074053.6799","19016585500.3641","13399763093.7117","17564145355.4728","26319489922.7596","22191419586.4585","19552084464.7389","",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","371431589.473684","403041958.041958","460407913.752914","405606072.261072","372867132.867133","362610722.610723","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426124.188629","809621698.535559","1064684091.41503","795639002.04499","933614569.330511","1097558438.08834","1508343757.29126","1771127114.7153","2068787029.4532","2591005999.50156","3220867773.24765","3853672281.63853","4364190390.71407","5867639979.53994","6717539640.57092","6004538202.0617","5792187320.18798","6700234560.7276","5860879317.95047","5999382665.71175","6243003573.18923","5070977325.18894","5436220772.90211","6070375896.83265","6856194783.87124","6926959712.72243","5636282433.50207","8016544325.73416","9033376424.81865","10320565554.1756","11675880655.2622","",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174625574198.145","178921493037.465","177013721402.327","177738380510.816","164392846820.283","177663831403.694","183015126349.419","196015975802.298","200264296495.035","208471442974.251","228444125489.675","229202068214.968","236570249758.347","270285770305.672","346771768049.521","424861018836.126","504046943770.686","659466368096.303","850720003913.679","763005679625.529","793195572758.651","905876750485.066","1008739390197.88","1065674829558.49","1121742139986.09","1043462245987.72","965620540388.829","1011982482127.38","1060948628698.69","1100322098044.2","956783106695.988","1100075212127.14","1347544151195.3","1442408635395.27","","",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","178610755616.065","215973042886.317","239748672566.372","252509462219.197","275110959836.624","268999319264.806","270714771953.71","285336963921.035","281535738597.685","306004084411.164","297228046289.993","347528931245.745","427991831177.672","481851599727.706","","",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","1206418120.40417","1206915602.41147","1720750786.53268","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.68227","5089538171.53895","4383512570.52097","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","5561048222.66032","5529993735.55397","6695427336.30366","8243255952.41335","7882225528.11663","5041767786.39482","6546497152.31476","11531201153.6445","18606116033.8447","22049649649.6497","27299960000","26038017000","30148400000","37413700000","38667300000","32762700000","33070146000","27603881800","13065823829.1753","18772898618.6064","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88838309449.3132","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75639254067.6608","89910495566.9384","85681309473.2328","65845624691.108","52454091268.1886","73042905138.0607","96991607940.8038","89980573297.99","80944817978.281","",
