"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4326692655","58.3646750583","83.1509743506","95.5619217108","132.571550693","118.9001782787","122.6065546363","131.0110362156","134.7188957237","127.7008551758","162.7290183815","169.2163491405","121.4145015498","159.4317297701","206.4605391594","189.679228355","161.3216186118","191.7344254844","287.0431729563","298.9","382.1","414.2","487.3","197.8","111.9","480","165.4","110.7","107.6","100","91.1","89.6","98.7","96","69.3","84.5","109.6","108.7","","",
"Africa Eastern and Southern","AFE","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","23.2794187703","24.5362692937","26.6264062022","29.4640092693","38.4668240869","33.0601520874","38.8543991491","27.5704282976","24.9238443558","22.7465030712","25.9121607444","17.0533023684","11.3780962235","11.5995676822","10.3814746558","5.011093681","8.5589998006","7.8209317397","5.983349443","13.1078298015","15.226162829","21.9607619631","31.7498752121","27.2049297707","28.1890205185","38.6","42.8","46.9","45.2","46.6","70.3","91.3","119","121.2","99.3","100","89.2","106.9","113.1","103.2","102.7","83.7","87.4","91.4","","",
"Africa Western and Central","AFW","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","6.4168739635","8.1126571283","5.716025271","4.7527208252","6.0707997125","6.771648405","5.2491150376","6.2979713576","6.6314786671","6.4671417313","7.628133843","6.511609373","9.6090222549","7.0693882632","7.0283040307","7.0943451545","9.8586267827","12.5504185069","10.047100529","15.0247405166","14.6912869698","15.3630267328","18.1708023009","26.482977828","28.1840742186","44.8","47.5","74","112.7","122.4","90","107.9","128.3","142.5","145.6","100","61.3","73.2","84","75.7","50.6","61.6","96.2","88.3","","",
"Albania","ALB","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.584904926","21.8141434323","15.0199044364","19.2662022322","26.4868586536","25.3555694158","30.8430312064","34.9525841065","43.3299820387","53.6705747666","71.3","83.3","114","141.8","123.8","119.9","146.9","132.9","133.5","80.9","100","102.7","100.6","104.8","117.2","130.8","150.1","61.9","236.8","","",
"Andorra","AND","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.2640231448","82.037182121","82.0320225659","82.251781379","83.3760926484","78.2189269986","80.5459852091","92.7202536338","116.9555100004","136.1732507558","139.4","138.3","148.6","148.3","124","119.2","125.2","109.8","115.1","120.4","100","104.8","114.1","123.3","117.2","93.8","120.6","143.2","153.4","","",
"Arab World","ARB","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","3.2765362508","3.7229742798","3.3262670172","2.9773924015","2.4945104507","2.4816032293","2.5837221313","2.6877391553","3.2351572159","3.8000379865","4.2514111313","5.2183139035","6.6092568787","7.4102638866","7.9812186462","9.0266348642","11.602526895","12.9477700233","12.3714080857","12.042071694","13.2902627266","14.1575357127","16.1919579767","19.7685550026","27.3641869909","31.4","37.9","50.6","75.2","55.3","62.2","86.9","96.8","101.9","104.4","100","101","98.4","93.6","110.1","94.7","133","160.3","179.5","","",
"Argentina","ARG","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","17.4282432285","15.5864890743","8.8248516301","7.4440318183","7.5772383736","6.3036779377","7.8079534478","9.616984406","8.7947727271","6.9485563189","6.7388303682","13.4159163588","24.5782620676","27.7378686631","35.6818382349","33.4219450212","39.4681654371","50.5775002221","52.1175317598","42.3688348179","41.7805830104","33.7513495593","14.9323145928","22.9781579606","37.2812889312","47.7","56.7","74.3","95.4","64.4","94.3","123.4","112.9","123.6","109.2","100","92.8","111.2","108.8","81.6","70.4","104.9","135.4","122.4","","",
