"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.05080898877577","8.15827337351447","8.15590989808314","8.02210049864685","7.77389399169686","7.6816226939442","7.64190636706094","7.68263780767572","7.72993010885893","7.66876829683374","7.55388452430262","7.51149338877195","7.4720424200925","7.27852246959678","7.10041371887931","7.03560059961336","6.98058891496815","6.95926232871186","7.0293349336202","7.33948885318777","7.303350943492","7.10873740350119","6.88972223038428","6.86242857576034","6.9309412585873","7.07442880999326","7.21491501896869","7.24484282680542","7.45910636823544","7.97430164130982","8.40741154700022","7.86947018999245","7.67654773372157","7.57169749274654","7.53923442390472",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.972","7.958","7.908","7.883","7.868","7.878","7.863","7.869","7.877","7.897","7.973","7.867","7.844","7.794","7.878","7.897","7.841","7.879","7.808","7.809","7.83","7.875","7.921","7.915","9.032","10.116","11.184","11.192","11.187","11.71","12.006","14.1","14.008","13.687","13.351",
"Africa Western and Central","AFW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.15789313945605","4.24671355789136","4.36703329539105","4.39009720211516","4.39276887843604","4.32613401613888","4.29611784310687","4.30420099773995","4.48967729134782","4.53084348194886","4.46519556174692","4.27370648574837","4.1679789387801","4.08689146118398","4.09646467682858","3.96927941109318","3.9480584197936","3.96722459921357","4.00285567701832","3.98952016701337","3.96721211893844","3.98010182260688","3.70779396420408","3.88775083913174","4.17014290578818","4.16758013639496","4.28399591922403","4.33437713943307","4.39076373818366","4.79531801163781","4.66663403105227","3.59335356570127","3.20080093275133","3.17242064214562","3.19055229252225",
"Angola","AGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.816","16.959","17.44","17.444","16.978","16.177","16.064","16.29","16.543","16.646","16.668","16.432","16.445","16.313","16.295","16.123","16.066","16.152","16.383","16.595","16.77","16.539","16.464","16.372","16.472","16.572","16.617","16.602","16.497","16.696","15.799","14.124","14.051","14.02","14.108",
"Albania","ALB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.304","30.007","25.251","20.835","14.607","13.928","16.872","20.042","20.835","19.023","18.57","17.891","16.985","16.306","15.966","15.626","15.966","13.06","13.674","14.086","13.481","13.376","15.866","18.055","17.193","15.418","13.616","12.304","11.466","11.639","11.474","10.785","10.669","10.689","10.926",
"Andorra","AND","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9097573121416","12.1536912884058","12.9097459716624","13.012183394794","13.5049205239265","12.4585943877988","11.9963600041588","11.9519989476751","12.1410531058538","12.6227231888262","12.49820212983","12.5062276655765","12.4496966444039","11.4271164700074","11.2344112966755","10.5176425576734","10.1456780757217","9.87515901443002","9.46079216862091","9.57178825247491","10.6873951414609","11.0650966632009","11.0350018909533","11.0319261608507","11.1524464292006","10.8617161429412","11.1152019032057","10.6546406452031","10.2137182910936","11.2951503646669","10.8627489086684","9.74413095599936","9.31338863204988","9.26592419265216","9.22073083160848",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.629","1.715","1.901","1.834","1.8","1.836","1.906","2.068","2.195","2.25","2.443","2.659","2.903","2.965","3.12","2.964","2.934","2.818","2.932","2.798","2.587","2.323","2.125","1.999","1.793","1.64","2.462","2.236","2.331","4.294","3.105","2.872","2.151","2.16","2.174",
"Argentina","ARG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44","6.36","10.1","11.76","18.8","17.11","14.82","12.65","14.05","15","17.32","19.59","15.36","13.522","11.506","10.078","8.47","7.837","8.645","7.714","7.18","7.217","7.1","7.268","7.577","8.088","8.347","9.22","9.843","11.461","8.736","6.805","6.139","7.15","7.145",
"Armenia","ARM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.774","1.8","5.3","6.6","6.7","9.3","10.8","9.4","11.2","11.107","11.012","10.888","10.769","10.676","10.584","10.497","10.394","17.1","19.295","19.523","18.884","17.511","16.576","17.498","18.261","17.617","17.704","18.966","18.304","18.175","15.469","13.451","12.405","12.405","12.871",
"American Samoa","ASM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.586","10.733","10.879","9.724","8.473","8.509","8.367","7.684","6.876","6.288","6.747","6.375","5.933","5.399","5.036","4.785","4.381","4.242","5.565","5.214","5.083","5.225","5.663","6.078","6.055","5.711","5.592","5.345","5.143","6.394","5.022","3.728","3.668","3.942","4.09",
"Austria","AUT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.42","3.59","4.25","3.535","4.345","5.282","5.15","5.483","4.699","4.687","4.007","4.852","4.779","5.969","5.682","5.32","4.909","4.198","5.371","4.883","4.637","4.909","5.367","5.674","5.802","6.064","5.561","4.933","4.56","5.201","6.459","4.992","5.264","5.2","5.582",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.8","4.5","6.3","7.2","8.1","9.1","10","10.9","11.78","10.91","10.04","9.17","7.99","7.26","6.62","6.33","5.86","5.74","5.63","5.42","5.19","4.97","4.91","4.96","5","5","4.9","5","7.24","6.04","5.65","5.64","5.648","5.457",
"Burundi","BDI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.147","3.131","3.094","3.106","3.095","3.095","3.124","3.156","3.133","3.137","3.154","3.168","3.145","3.177","3.162","3.185","2.404","1.634","1.622","1.615","1.602","1.593","1.584","1.572","1.449","1.352","1.25","1.147","1.043","1.03","1.118","0.909","0.911","0.915","0.922",
"Belgium","BEL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.984","6.702","8.078","9.645","9.337","9.483","8.95","9.322","8.649","6.586","6.178","6.91","7.68","7.363","8.44","8.246","7.459","6.976","7.908","8.293","7.14","7.542","8.425","8.523","8.482","7.83","7.09","5.941","5.364","5.545","6.248","5.57","5.547","5.7","5.906",
"Benin","BEN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.637","1.51","1.494","1.453","1.305","1.246","1.1","1.048","0.949","0.864","0.766","0.69","0.747","0.79","0.859","0.888","0.902","0.895","0.95","1.04","2.647","2.458","2.198","1.952","1.886","1.834","1.691","1.426","1.214","1.518","1.833","1.685","1.641","1.637","1.589",
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.467","2.505","2.426","2.58","2.532","2.446","2.412","2.44","2.552","2.687","2.748","2.862","2.78","3.48","4","3.67","3.3","3.501","3.723","3.725","3.827","3.849","4.054","4.255","4.472","4.598","4.662","4.695","4.493","4.59","4.511","3.828","3.601","3.441","3.477",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2.233","2.31","2.37","2.441","2.51","2.698","2.893","3.088","3.27","3.609","3.966","4.32","4.316","4.25","3.591","4.015","4.49","5","3.379","3.737","4.07","4.426","4.417","4.397","4.35","4.372","4.439","4.504","5.539","5.457","4.593","3.352","3.635","3.778",
"Bulgaria","BGR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1","15.3","16.4","12.8","11.1","12.5","13.7","12.2","14.1","16.218","19.921","18.11","13.733","12.037","10.083","8.951","6.878","5.609","6.817","10.279","11.26","12.27","12.941","11.424","9.143","7.575","6.164","5.211","4.148","5.037","5.166","4.148","4.319","4.2","3.536",
"Bahrain","BHR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.047","0.968","0.882","1.007","1.044","1.177","1.125","1.114","1.112","1.081","1.118","1.137","1.126","1.064","1.021","1.021","1.006","1.015","1.07","1.13","1.21","1.2","1.184","1.144","1.164","1.19","1.18","1.188","1.217","1.765","1.548","1.265","1.049","1.084","1.102",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.17","14.81","12.72","13.83","10.83","11.46","9.76","7.65","7.45","7.118","6.87","9.05","10.84","10.2","10.2","7.54","7.88","8.18","14.25","14.435","14.52","14.02","16.18","13.8","12","12.7","9.8","10","9.336","12.016","11.078","9.25","8.645","9.049","9.207",
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.55","18.477","19.408","20.17","20.944","21.682","22.586","23.494","24.441","25.446","26.485","27.477","28.424","29.279","30.218","31.11","28.984","23.405","24.068","27.312","27.582","28.01","27.49","27.517","27.695","25.408","20.527","18.4","15.692","15.868","14.897","12.657","10.668","10.69","11.037",
"Belarus","BLR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","3.1","8.5","12.8","17.7","24.4","17.1","14","12.8","12.193","11.561","10.874","10.191","9.463","8.759","8.066","7.41","6.728","6.1","6.052","6.024","5.962","5.942","5.908","5.881","5.844","5.648","4.763","4.165","4.049","3.9","3.574","3.461","3.458","3.38",
